Country,Investment area,Year,Funder,Amount,Unit,Row type,Category (as printed in MoU),Source note,Source (MoU PDF)
Cameroon,Frontline lab workers,2026,Government,0.0,USD,Imputed (derived - not printed in MoU),,"Imputed: 0 Gov FTEs x USG 2026 lab rate $6,185.90/FTE; flat nominal, consistent with Moz/Kenya gov-side rates",Cameroon_MoU.pdf (FTEs); rate derived
Cameroon,Frontline lab workers,2027,Government,0.0,USD,Imputed (derived - not printed in MoU),,"Imputed: 0 Gov FTEs x USG 2026 lab rate $6,185.90/FTE; flat nominal, consistent with Moz/Kenya gov-side rates",Cameroon_MoU.pdf (FTEs); rate derived
Cameroon,Frontline lab workers,2028,Government,383526.0,USD,Imputed (derived - not printed in MoU),,"Imputed: 62 Gov FTEs x USG 2026 lab rate $6,185.90/FTE; flat nominal, consistent with Moz/Kenya gov-side rates",Cameroon_MoU.pdf (FTEs); rate derived
Cameroon,Frontline lab workers,2029,Government,389712.0,USD,Imputed (derived - not printed in MoU),,"Imputed: 63 Gov FTEs x USG 2026 lab rate $6,185.90/FTE; flat nominal, consistent with Moz/Kenya gov-side rates",Cameroon_MoU.pdf (FTEs); rate derived
Cameroon,Frontline lab workers,2030,Government,383526.0,USD,Imputed (derived - not printed in MoU),,"Imputed: 62 Gov FTEs x USG 2026 lab rate $6,185.90/FTE; flat nominal, consistent with Moz/Kenya gov-side rates",Cameroon_MoU.pdf (FTEs); rate derived
Cameroon,Frontline healthcare workers,2026,Government,0.0,USD,Imputed (derived - not printed in MoU),,"Imputed: 0 Gov FTEs x USG 2026 HCW rate $4,399.68/FTE; flat nominal, consistent with Moz/Kenya gov-side rates",Cameroon_MoU.pdf (FTEs); rate derived
Cameroon,Frontline healthcare workers,2027,Government,0.0,USD,Imputed (derived - not printed in MoU),,"Imputed: 0 Gov FTEs x USG 2026 HCW rate $4,399.68/FTE; flat nominal, consistent with Moz/Kenya gov-side rates",Cameroon_MoU.pdf (FTEs); rate derived
Cameroon,Frontline healthcare workers,2028,Government,4404082.0,USD,Imputed (derived - not printed in MoU),,"Imputed: 1001 Gov FTEs x USG 2026 HCW rate $4,399.68/FTE; flat nominal, consistent with Moz/Kenya gov-side rates",Cameroon_MoU.pdf (FTEs); rate derived
Cameroon,Frontline healthcare workers,2029,Government,4060907.0,USD,Imputed (derived - not printed in MoU),,"Imputed: 923 Gov FTEs x USG 2026 HCW rate $4,399.68/FTE; flat nominal, consistent with Moz/Kenya gov-side rates",Cameroon_MoU.pdf (FTEs); rate derived
Cameroon,Frontline healthcare workers,2030,Government,4056507.0,USD,Imputed (derived - not printed in MoU),,"Imputed: 922 Gov FTEs x USG 2026 HCW rate $4,399.68/FTE; flat nominal, consistent with Moz/Kenya gov-side rates",Cameroon_MoU.pdf (FTEs); rate derived
