Country,Investment area,Funder,Year,USD,FTEs,USD_per_FTE
Cameroon,Frontline healthcare workers,USG,2026,22170000.0,5039.0,4399.68
Cameroon,Frontline healthcare workers,USG,2027,20110000.0,5039.0,3990.87
Cameroon,Frontline healthcare workers,USG,2028,18880000.0,4038.0,4675.58
Cameroon,Frontline healthcare workers,USG,2029,16020000.0,2615.0,6126.2
Cameroon,Frontline healthcare workers,USG,2030,10530000.0,1192.0,8833.89
Cameroon,Frontline lab workers,USG,2026,1930000.0,312.0,6185.9
Cameroon,Frontline lab workers,USG,2027,1750000.0,312.0,5608.97
Cameroon,Frontline lab workers,USG,2028,1640000.0,249.0,6586.35
Cameroon,Frontline lab workers,USG,2029,1390000.0,156.0,8910.26
Cameroon,Frontline lab workers,USG,2030,920000.0,62.0,14838.71
Ethiopia,Frontline healthcare workers,USG,2026,14173411.0,8107.0,1748.29
Ethiopia,Frontline healthcare workers,USG,2027,10629621.0,6080.0,1748.29
Ethiopia,Frontline healthcare workers,USG,2028,7087580.0,4054.0,1748.29
Ethiopia,Frontline healthcare workers,USG,2029,3543790.0,2027.0,1748.29
Ethiopia,Frontline lab workers,USG,2026,433565.0,79.0,5488.16
Ethiopia,Frontline lab workers,USG,2027,323802.0,59.0,5488.17
Ethiopia,Frontline lab workers,USG,2028,219527.0,39.0,5628.9
Ethiopia,Frontline lab workers,USG,2029,109763.0,20.0,5488.15
Kenya,Frontline healthcare workers,Government,2028,45735429.0,13786.0,3317.53
Kenya,Frontline healthcare workers,Government,2029,45735429.0,13580.0,3367.85
Kenya,Frontline healthcare workers,Government,2030,45735429.0,13518.0,3383.3
Kenya,Frontline healthcare workers,USG,2026,45735429.0,28668.0,1595.35
Kenya,Frontline healthcare workers,USG,2027,30490286.0,21407.0,1424.31
Kenya,Frontline lab workers,Government,2028,6462293.0,515.0,12548.14
Kenya,Frontline lab workers,Government,2029,6462293.0,515.0,12548.14
Kenya,Frontline lab workers,Government,2030,6462293.0,515.0,12548.14
Kenya,Frontline lab workers,USG,2026,6462293.0,515.0,12548.14
Kenya,Frontline lab workers,USG,2027,4308195.0,515.0,8365.43
Liberia,Frontline healthcare workers,Government,2026,1189584.0,33.0,36048.0
Liberia,Frontline healthcare workers,Government,2027,3394320.0,706.0,4807.82
Liberia,Frontline healthcare workers,Government,2028,5426160.0,1332.0,4073.69
Liberia,Frontline healthcare workers,Government,2029,7626000.0,1748.0,4362.7
Liberia,Frontline healthcare workers,Government,2030,9825840.0,2164.0,4540.59
Liberia,Frontline healthcare workers,USG,2026,1405536.0,1851.0,759.34
Liberia,Frontline healthcare workers,USG,2027,1008480.0,1248.0,808.08
Liberia,Frontline healthcare workers,USG,2028,784320.0,692.0,1133.41
Liberia,Frontline healthcare workers,USG,2029,392160.0,342.0,1146.67
Liberia,Frontline lab workers,Government,2027,1341984.0,49.0,27387.43
Liberia,Frontline lab workers,Government,2028,317400.0,119.0,2667.23
Liberia,Frontline lab workers,Government,2029,496800.0,213.0,2332.39
Liberia,Frontline lab workers,Government,2030,697200.0,342.0,2038.6
Liberia,Frontline lab workers,USG,2026,697200.0,342.0,2038.6
Liberia,Frontline lab workers,USG,2027,544800.0,293.0,1859.39
Liberia,Frontline lab workers,USG,2028,379800.0,223.0,1703.14
Liberia,Frontline lab workers,USG,2029,496800.0,129.0,3851.16
Mozambique,Frontline healthcare workers,Government,2027,4697311.0,1180.0,3980.77
Mozambique,Frontline healthcare workers,Government,2028,9465621.0,2368.0,3997.31
Mozambique,Frontline healthcare workers,Government,2029,14304932.0,3576.0,4000.26
Mozambique,Frontline healthcare workers,Government,2030,18505242.0,4788.0,3864.92
Mozambique,Frontline healthcare workers,USG,2026,36963448.0,19798.0,1867.03
Mozambique,Frontline healthcare workers,USG,2027,32654200.0,19798.0,1649.37
Mozambique,Frontline healthcare workers,USG,2028,27042028.0,19018.0,1421.92
Mozambique,Frontline healthcare workers,USG,2029,24854804.0,18230.0,1363.4
Mozambique,Frontline healthcare workers,USG,2030,21324198.0,17422.0,1223.98
Mozambique,Frontline lab workers,USG,2026,858200.0,105.0,8173.33
Mozambique,Frontline lab workers,USG,2027,792200.0,95.0,8338.95
Mozambique,Frontline lab workers,USG,2028,660200.0,75.0,8802.67
Mozambique,Frontline lab workers,USG,2029,462200.0,45.0,10271.11
Nigeria,Frontline healthcare workers,USG,2026,23600000.0,22867.0,1032.05
Nigeria,Frontline healthcare workers,USG,2027,12000000.0,17150.0,699.71
Nigeria,Frontline healthcare workers,USG,2028,11800000.0,11433.0,1032.1
Nigeria,Frontline healthcare workers,USG,2029,5900000.0,5717.0,1032.01
Nigeria,Frontline lab workers,USG,2026,4447069.0,1198.0,3712.08
Nigeria,Frontline lab workers,USG,2027,2335302.0,898.0,2600.56
Nigeria,Frontline lab workers,USG,2028,1223535.0,599.0,2042.63
Nigeria,Frontline lab workers,USG,2029,1611768.0,299.0,5390.53
Rwanda,Frontline healthcare workers,USG,2026,4272578.0,2734.0,1562.76
Rwanda,Frontline healthcare workers,USG,2027,6836124.0,2187.0,3125.8
Rwanda,Frontline healthcare workers,USG,2028,5468899.0,1640.0,3334.69
Rwanda,Frontline healthcare workers,USG,2029,230000.0,24.0,9583.33
Rwanda,Frontline lab workers,USG,2026,780319.0,289.0,2700.07
Rwanda,Frontline lab workers,USG,2027,1560637.0,289.0,5400.13
Rwanda,Frontline lab workers,USG,2028,1248510.0,12.0,104042.5
Rwanda,Frontline lab workers,USG,2029,115000.0,12.0,9583.33
Uganda,Frontline healthcare workers,Government,2027,19177200.0,10584.0,1811.9
Uganda,Frontline healthcare workers,Government,2028,21177200.0,11588.0,1827.51
Uganda,Frontline healthcare workers,Government,2029,19677200.0,10520.0,1870.46
Uganda,Frontline healthcare workers,Government,2030,16970200.0,4714.0,3599.96
Uganda,Frontline healthcare workers,USG,2026,28519570.0,18104.0,1575.32
Uganda,Frontline healthcare workers,USG,2027,23635877.0,12831.0,1842.09
Uganda,Frontline healthcare workers,USG,2028,16896027.0,7175.0,2354.85
Uganda,Frontline healthcare workers,USG,2029,8715804.0,2019.0,4316.89
