Country,Area,Status,Gov FTE-years,Rate used,Gov $ (central),Gov $ (low),Gov $ (high),Method,Confidence
Cameroon,Frontline healthcare workers,IMPUTED,5771.0,4399.68,25390568.0,23084000.0,28241600.0,own USG 2026 rate (envelope caveat); cumulative new+existing FTEs,medium
Cameroon,Frontline lab workers,IMPUTED,374.0,6185.9,2313526.0,2313526.0,2615599.0,own USG 2026 rate (envelope caveat); cumulative new+existing FTEs,medium
Côte d'Ivoire,Frontline healthcare workers,IMPUTED,52000.0,3601.17,187260839.0,90911234.0,236110758.0,"peer government HCW median; cumulative new (39,800 baseline excl.)",low
Côte d'Ivoire,Frontline lab workers,IMPUTED,2500.0,6185.9,15464744.0,6249527.0,31370354.0,"peer lab median; cumulative new (1,900 baseline excl.)",low
Ethiopia,Frontline lab workers,IMPUTED,197.0,5488.16,1081168.0,1081168.0,1108893.0,"own USG rate, constant across years",high
Mozambique,Frontline lab workers,IMPUTED,205.0,6600.0,1353000.0,1353000.0,1675533.0,own USG marginal rate (exact fixed+marginal fit),high
Rwanda,Frontline healthcare workers,IMPUTED,7061.0,1562.76,11034628.0,11034628.0,17957100.0,own USG 2026 rate (App.1 $ vs Sec FTEs misaligned),low
Rwanda,Frontline lab workers,IMPUTED,1120.0,2700.07,3024074.0,3024074.0,6757332.0,own USG 2026 rate (App.1 $ vs Sec FTEs misaligned),low
Uganda,Frontline healthcare workers,IMPUTED (continuation),32222.0,3601.17,116036899.0,115392668.0,128033025.0,CONTINUATION of absorbed cohorts (printed $ covers new cohorts only); own rate,medium
Uganda,Frontline lab workers,IMPUTED (continuation),1086.0,6185.9,6717885.0,2714794.0,6717885.0,CONTINUATION of absorbed lab cohorts (new-year costs sit in the printed HRH $),low
Ethiopia,Frontline healthcare workers,printed in MoU,,,35434402.0,35434402.0,35434402.0,printed,n/a
Kenya,Frontline healthcare workers,printed in MoU,41730.0,,182941716.0,182941716.0,182941716.0,printed,n/a
Kenya,Frontline lab workers,printed in MoU,1545.0,,25849172.0,25849172.0,25849172.0,printed,n/a
Liberia,Frontline healthcare workers,printed in MoU,5983.0,,27461904.0,27461904.0,27461904.0,printed,n/a
Liberia,Frontline lab workers,printed in MoU,723.0,,2853384.0,2853384.0,2853384.0,printed,n/a
Mozambique,Frontline healthcare workers,printed in MoU,11912.0,,46973106.0,46973106.0,46973106.0,printed,n/a
Nigeria,Frontline healthcare workers,printed in MoU,,,282685276.0,282685276.0,282685276.0,printed,n/a
Nigeria,Frontline lab workers,printed in MoU,,,14878172.0,14878172.0,14878172.0,printed,n/a
Uganda,Frontline healthcare workers,printed in MoU,18107.0,,77001800.0,77001800.0,77001800.0,printed,n/a
