Country,Investment area,Year,Funder,Amount,Unit,Row type,Source note
Cameroon,Frontline healthcare workers,2028,Government,4404082.0,USD,Imputed (derived - not printed in MoU),"Imputed: 1001 Gov FTEs (new + prior-year absorptions) x $4,399.68/FTE (own USG 2026 rate (envelope caveat); cumulative new+existing FTEs); confidence medium; range $4,000-$4,894/FTE"
Cameroon,Frontline healthcare workers,2029,Government,8464989.0,USD,Imputed (derived - not printed in MoU),"Imputed: 1924 Gov FTEs (new + prior-year absorptions) x $4,399.68/FTE (own USG 2026 rate (envelope caveat); cumulative new+existing FTEs); confidence medium; range $4,000-$4,894/FTE"
Cameroon,Frontline healthcare workers,2030,Government,12521496.0,USD,Imputed (derived - not printed in MoU),"Imputed: 2846 Gov FTEs (new + prior-year absorptions) x $4,399.68/FTE (own USG 2026 rate (envelope caveat); cumulative new+existing FTEs); confidence medium; range $4,000-$4,894/FTE"
Cameroon,Frontline lab workers,2028,Government,383526.0,USD,Imputed (derived - not printed in MoU),"Imputed: 62 Gov FTEs (new + prior-year absorptions) x $6,185.90/FTE (own USG 2026 rate (envelope caveat); cumulative new+existing FTEs); confidence medium; range $6,186-$6,994/FTE"
Cameroon,Frontline lab workers,2029,Government,773237.0,USD,Imputed (derived - not printed in MoU),"Imputed: 125 Gov FTEs (new + prior-year absorptions) x $6,185.90/FTE (own USG 2026 rate (envelope caveat); cumulative new+existing FTEs); confidence medium; range $6,186-$6,994/FTE"
Cameroon,Frontline lab workers,2030,Government,1156763.0,USD,Imputed (derived - not printed in MoU),"Imputed: 187 Gov FTEs (new + prior-year absorptions) x $6,185.90/FTE (own USG 2026 rate (envelope caveat); cumulative new+existing FTEs); confidence medium; range $6,186-$6,994/FTE"
Ethiopia,Frontline lab workers,2027,Government,109763.0,USD,Imputed (derived - not printed in MoU),"Imputed: 20 Gov FTEs (new + prior-year absorptions) x $5,488.16/FTE (own USG rate, constant across years); confidence high; range $5,488-$5,629/FTE"
Ethiopia,Frontline lab workers,2028,Government,214038.0,USD,Imputed (derived - not printed in MoU),"Imputed: 39 Gov FTEs (new + prior-year absorptions) x $5,488.16/FTE (own USG rate, constant across years); confidence high; range $5,488-$5,629/FTE"
Ethiopia,Frontline lab workers,2029,Government,323802.0,USD,Imputed (derived - not printed in MoU),"Imputed: 59 Gov FTEs (new + prior-year absorptions) x $5,488.16/FTE (own USG rate, constant across years); confidence high; range $5,488-$5,629/FTE"
Ethiopia,Frontline lab workers,2030,Government,433565.0,USD,Imputed (derived - not printed in MoU),"Imputed: 79 Gov FTEs (new + prior-year absorptions) x $5,488.16/FTE (own USG rate, constant across years); confidence high; range $5,488-$5,629/FTE"
Rwanda,Frontline healthcare workers,2027,Government,854828.0,USD,Imputed (derived - not printed in MoU),"Imputed: 547 Gov FTEs (new + prior-year absorptions) x $1,562.76/FTE (own USG 2026 rate (App.1 $ vs Sec FTEs misaligned)); confidence low; range $1,563-$2,543/FTE"
Rwanda,Frontline healthcare workers,2028,Government,1709656.0,USD,Imputed (derived - not printed in MoU),"Imputed: 1094 Gov FTEs (new + prior-year absorptions) x $1,562.76/FTE (own USG 2026 rate (App.1 $ vs Sec FTEs misaligned)); confidence low; range $1,563-$2,543/FTE"
Rwanda,Frontline healthcare workers,2029,Government,4235072.0,USD,Imputed (derived - not printed in MoU),"Imputed: 2710 Gov FTEs (new + prior-year absorptions) x $1,562.76/FTE (own USG 2026 rate (App.1 $ vs Sec FTEs misaligned)); confidence low; range $1,563-$2,543/FTE"
Rwanda,Frontline healthcare workers,2030,Government,4235072.0,USD,Imputed (derived - not printed in MoU),"Imputed: 2710 Gov FTEs (new + prior-year absorptions) x $1,562.76/FTE (own USG 2026 rate (App.1 $ vs Sec FTEs misaligned)); confidence low; range $1,563-$2,543/FTE"
Rwanda,Frontline lab workers,2027,Government,747918.0,USD,Imputed (derived - not printed in MoU),"Imputed: 277 Gov FTEs (new + prior-year absorptions) x $2,700.07/FTE (own USG 2026 rate (App.1 $ vs Sec FTEs misaligned)); confidence low; range $2,700-$6,033/FTE"
Rwanda,Frontline lab workers,2028,Government,747918.0,USD,Imputed (derived - not printed in MoU),"Imputed: 277 Gov FTEs (new + prior-year absorptions) x $2,700.07/FTE (own USG 2026 rate (App.1 $ vs Sec FTEs misaligned)); confidence low; range $2,700-$6,033/FTE"
Rwanda,Frontline lab workers,2029,Government,747918.0,USD,Imputed (derived - not printed in MoU),"Imputed: 277 Gov FTEs (new + prior-year absorptions) x $2,700.07/FTE (own USG 2026 rate (App.1 $ vs Sec FTEs misaligned)); confidence low; range $2,700-$6,033/FTE"
Rwanda,Frontline lab workers,2030,Government,780319.0,USD,Imputed (derived - not printed in MoU),"Imputed: 289 Gov FTEs (new + prior-year absorptions) x $2,700.07/FTE (own USG 2026 rate (App.1 $ vs Sec FTEs misaligned)); confidence low; range $2,700-$6,033/FTE"
Uganda,Frontline healthcare workers,2028,Government,18870131.0,USD,Imputed (derived - not printed in MoU),"Imputed: 5240 Gov FTEs (prior-year absorbed cohorts, continued) x $3,601.17/FTE (CONTINUATION of absorbed cohorts (printed $ covers new cohorts only); own rate); confidence medium; range $3,581-$3,973/FTE"
Uganda,Frontline healthcare workers,2029,Government,39400401.0,USD,Imputed (derived - not printed in MoU),"Imputed: 10941 Gov FTEs (prior-year absorbed cohorts, continued) x $3,601.17/FTE (CONTINUATION of absorbed cohorts (printed $ covers new cohorts only); own rate); confidence medium; range $3,581-$3,973/FTE"
Uganda,Frontline healthcare workers,2030,Government,57766368.0,USD,Imputed (derived - not printed in MoU),"Imputed: 16041 Gov FTEs (prior-year absorbed cohorts, continued) x $3,601.17/FTE (CONTINUATION of absorbed cohorts (printed $ covers new cohorts only); own rate); confidence medium; range $3,581-$3,973/FTE"
Uganda,Frontline lab workers,2028,Government,711378.0,USD,Imputed (derived - not printed in MoU),"Imputed: 115 Gov FTEs (prior-year absorbed cohorts, continued) x $6,185.90/FTE (CONTINUATION of absorbed lab cohorts (new-year costs sit in the printed HRH $)); confidence low; range $2,500-$6,186/FTE"
Uganda,Frontline lab workers,2029,Government,1923814.0,USD,Imputed (derived - not printed in MoU),"Imputed: 311 Gov FTEs (prior-year absorbed cohorts, continued) x $6,185.90/FTE (CONTINUATION of absorbed lab cohorts (new-year costs sit in the printed HRH $)); confidence low; range $2,500-$6,186/FTE"
Uganda,Frontline lab workers,2030,Government,4082692.0,USD,Imputed (derived - not printed in MoU),"Imputed: 660 Gov FTEs (prior-year absorbed cohorts, continued) x $6,185.90/FTE (CONTINUATION of absorbed lab cohorts (new-year costs sit in the printed HRH $)); confidence low; range $2,500-$6,186/FTE"
Côte d'Ivoire,Frontline healthcare workers,2027,Government,12541397.0,USD,Imputed (derived - not printed in MoU),"Imputed: 5200 Gov FTEs (new + prior-year absorptions) x $2,411.81/FTE (own USG 2026 rate (App.1); cumulative new (39,800 baseline excl.)); confidence medium; range $2,412-$3,601/FTE"
Côte d'Ivoire,Frontline healthcare workers,2028,Government,25082793.0,USD,Imputed (derived - not printed in MoU),"Imputed: 10400 Gov FTEs (new + prior-year absorptions) x $2,411.81/FTE (own USG 2026 rate (App.1); cumulative new (39,800 baseline excl.)); confidence medium; range $2,412-$3,601/FTE"
Côte d'Ivoire,Frontline healthcare workers,2029,Government,37624190.0,USD,Imputed (derived - not printed in MoU),"Imputed: 15600 Gov FTEs (new + prior-year absorptions) x $2,411.81/FTE (own USG 2026 rate (App.1); cumulative new (39,800 baseline excl.)); confidence medium; range $2,412-$3,601/FTE"
