Country,Cadre,Year,USG FTEs funded,Gov new FTEs,Gov existing FTEs,Gov total FTEs,Source
Mozambique,G2G absorption HCWs,2026,400,0,0,0,"Mozambique_MoU.pdf App.3 p.36"
Mozambique,G2G absorption HCWs,2027,400,400,0,400,"Mozambique_MoU.pdf App.3 p.36"
Mozambique,G2G absorption HCWs,2028,400,400,400,800,"Mozambique_MoU.pdf App.3 p.36"
Mozambique,G2G absorption HCWs,2029,400,400,800,1200,"Mozambique_MoU.pdf App.3 p.36"
Mozambique,G2G absorption HCWs,2030,400,400,1200,1600,"Mozambique_MoU.pdf App.3 p.36"
Mozambique,Clinical Officers,2026,857,0,10113,10113,"Mozambique_MoU.pdf App.3 p.36"
Mozambique,Clinical Officers,2027,857,212,10113,10325,"Mozambique_MoU.pdf App.3 p.36"
Mozambique,Clinical Officers,2028,645,215,10325,10540,"Mozambique_MoU.pdf App.3 p.36"
Mozambique,Clinical Officers,2029,430,215,10540,10755,"Mozambique_MoU.pdf App.3 p.36"
Mozambique,Clinical Officers,2030,215,215,10755,10970,"Mozambique_MoU.pdf App.3 p.36"
Mozambique,Doctors,2026,5,0,2469,2469,"Mozambique_MoU.pdf App.3 p.36"
Mozambique,Doctors,2027,5,1,2469,2470,"Mozambique_MoU.pdf App.3 p.36"
Mozambique,Doctors,2028,4,1,2470,2471,"Mozambique_MoU.pdf App.3 p.36"
Mozambique,Doctors,2029,3,1,2471,2472,"Mozambique_MoU.pdf App.3 p.36"
Mozambique,Doctors,2030,2,2,2472,2474,"Mozambique_MoU.pdf App.3 p.36"
Mozambique,Nurses,2026,376,0,12336,12336,"Mozambique_MoU.pdf App.3 p.36"
Mozambique,Nurses,2027,376,94,12336,12430,"Mozambique_MoU.pdf App.3 p.36"
Mozambique,Nurses,2028,282,94,12430,12524,"Mozambique_MoU.pdf App.3 p.36"
Mozambique,Nurses,2029,188,94,12524,12618,"Mozambique_MoU.pdf App.3 p.36"
Mozambique,Nurses,2030,94,94,12618,12712,"Mozambique_MoU.pdf App.3 p.36"
Mozambique,Pharmacy Technicians,2026,95,0,4585,4585,"Mozambique_MoU.pdf App.3 p.37"
Mozambique,Pharmacy Technicians,2027,95,23,4585,4608,"Mozambique_MoU.pdf App.3 p.37"
Mozambique,Pharmacy Technicians,2028,72,23,4608,4631,"Mozambique_MoU.pdf App.3 p.37"
Mozambique,Pharmacy Technicians,2029,49,23,4631,4654,"Mozambique_MoU.pdf App.3 p.37"
Mozambique,Pharmacy Technicians,2030,26,26,4654,4680,"Mozambique_MoU.pdf App.3 p.37"
Mozambique,CHWs (APS),2026,9899,0,8959,8959,"Mozambique_MoU.pdf App.3 p.37"
Mozambique,CHWs (APS),2027,9899,450,8959,9409,"Mozambique_MoU.pdf App.3 p.37"
Mozambique,CHWs (APS),2028,9449,455,9409,9864,"Mozambique_MoU.pdf App.3 p.37"
Mozambique,CHWs (APS),2029,8994,475,9864,10339,"Mozambique_MoU.pdf App.3 p.37"
Mozambique,CHWs (APS),2030,8519,475,10339,10814,"Mozambique_MoU.pdf App.3 p.37"
