Country,Cadre,Year,USG FTEs funded,Gov new FTEs,Gov existing FTEs,Gov total FTEs,Source note,Source
Uganda,National HRH summary (all cadres incl. lab),2026,18104,0,51213,69317,"New cols of the 7 cadre tables sum EXACTLY to this table's New col (5355/5897/5449/2678); existing cols sum ~19400 short (cadres not broken out); USG cols differ by <=71/yr","Uganda_MoU.pdf App.3 p.30"
Uganda,National HRH summary (all cadres incl. lab),2027,12831,5355,51213,69399,,"Uganda_MoU.pdf App.3 p.30"
Uganda,National HRH summary (all cadres incl. lab),2028,7175,5897,56568,69640,,"Uganda_MoU.pdf App.3 p.30"
Uganda,National HRH summary (all cadres incl. lab),2029,2019,5449,62465,69933,,"Uganda_MoU.pdf App.3 p.30"
Uganda,National HRH summary (all cadres incl. lab),2030,0,2678,67914,70592,,"Uganda_MoU.pdf App.3 p.30"
Uganda,Laboratory cadres,2026,900,0,2199,3099,,"Uganda_MoU.pdf App.3 p.30 (= Sec 2.2.3 table)"
Uganda,Laboratory cadres,2027,819,115,2199,3133,,"Uganda_MoU.pdf App.3 p.30"
Uganda,Laboratory cadres,2028,684,196,2314,3194,,"Uganda_MoU.pdf App.3 p.30"
Uganda,Laboratory cadres,2029,441,349,2510,3300,,"Uganda_MoU.pdf App.3 p.30"
Uganda,Laboratory cadres,2030,0,612,2859,3471,,"Uganda_MoU.pdf App.3 p.30"
Uganda,Epidemiologists,2026,42,0,0,42,,"Uganda_MoU.pdf App.3 p.30"
Uganda,Epidemiologists,2027,36,11,1,48,,"Uganda_MoU.pdf App.3 p.30"
Uganda,Epidemiologists,2028,26,10,12,48,,"Uganda_MoU.pdf App.3 p.30"
Uganda,Epidemiologists,2029,15,29,20,64,,"Uganda_MoU.pdf App.3 p.30"
Uganda,Epidemiologists,2030,0,30,49,79,,"Uganda_MoU.pdf App.3 p.30"
Uganda,Medical cadres (doctors & clinical officers),2026,580,0,5807,6387,,"Uganda_MoU.pdf App.3 p.31"
Uganda,Medical cadres (doctors & clinical officers),2027,545,65,5807,6417,,"Uganda_MoU.pdf App.3 p.31"
Uganda,Medical cadres (doctors & clinical officers),2028,376,232,5872,6480,,"Uganda_MoU.pdf App.3 p.31"
Uganda,Medical cadres (doctors & clinical officers),2029,170,298,6104,6572,,"Uganda_MoU.pdf App.3 p.31"
Uganda,Medical cadres (doctors & clinical officers),2030,0,295,6402,6697,,"Uganda_MoU.pdf App.3 p.31"
Uganda,Nurses & midwives,2026,992,0,22411,23403,,"Uganda_MoU.pdf App.3 p.31"
Uganda,Nurses & midwives,2027,922,124,22411,23457,,"Uganda_MoU.pdf App.3 p.31"
Uganda,Nurses & midwives,2028,668,333,22535,23536,,"Uganda_MoU.pdf App.3 p.31"
Uganda,Nurses & midwives,2029,402,381,22868,23651,,"Uganda_MoU.pdf App.3 p.31"
Uganda,Nurses & midwives,2030,0,597,23249,23846,,"Uganda_MoU.pdf App.3 p.31"
Uganda,Community Health Extension Workers,2026,14462,336,0,14798,"This table's arithmetic differs: Total = USG + Existing, and Existing rolls in the CURRENT year's new (2027 existing 5336 = 336 + 5000)","Uganda_MoU.pdf App.3 p.31"
Uganda,Community Health Extension Workers,2027,9462,5000,5336,14798,,"Uganda_MoU.pdf App.3 p.31"
Uganda,Community Health Extension Workers,2028,4462,5000,10336,14798,,"Uganda_MoU.pdf App.3 p.31"
Uganda,Community Health Extension Workers,2029,462,4000,14336,14798,,"Uganda_MoU.pdf App.3 p.31"
Uganda,Community Health Extension Workers,2030,0,462,14798,14798,,"Uganda_MoU.pdf App.3 p.31"
Uganda,Pharmacists,2026,36,0,1040,1076,,"Uganda_MoU.pdf App.3 p.31"
Uganda,Pharmacists,2027,26,20,1040,1086,,"Uganda_MoU.pdf App.3 p.31"
Uganda,Pharmacists,2028,0,26,1060,1086,,"Uganda_MoU.pdf App.3 p.31"
Uganda,Pharmacists,2029,0,20,1106,1126,,"Uganda_MoU.pdf App.3 p.31"
Uganda,Pharmacists,2030,0,82,1126,1208,,"Uganda_MoU.pdf App.3 p.31"
Uganda,Social workers,2026,1092,0,0,1092,,"Uganda_MoU.pdf App.3 p.32"
Uganda,Social workers,2027,1072,20,0,1092,,"Uganda_MoU.pdf App.3 p.32"
Uganda,Social workers,2028,972,100,20,1092,,"Uganda_MoU.pdf App.3 p.32"
Uganda,Social workers,2029,600,372,120,1092,,"Uganda_MoU.pdf App.3 p.32"
Uganda,Social workers,2030,0,600,492,1092,,"Uganda_MoU.pdf App.3 p.32"
