Country,Investment area,Year,Funder,Amount,Basis
Cameroon,All areas combined,2028,Government,4787608.0,Imputed from FTEs
Cameroon,All areas combined,2029,Government,9238226.0,Imputed from FTEs
Cameroon,All areas combined,2030,Government,13678259.0,Imputed from FTEs
Cameroon,All areas combined,2026,Government,0.0,Printed in MoU
Cameroon,All areas combined,2027,Government,0.0,Printed in MoU
Cameroon,All areas combined,2028,Government,1624519.0,Printed in MoU
Cameroon,All areas combined,2029,Government,4544519.0,Printed in MoU
Cameroon,All areas combined,2030,Government,10430000.0,Printed in MoU
Cameroon,All areas combined,2026,USG,100930000.0,Printed in MoU
Cameroon,All areas combined,2027,USG,91530000.0,Printed in MoU
Cameroon,All areas combined,2028,USG,85940000.0,Printed in MoU
Cameroon,All areas combined,2029,USG,72930000.0,Printed in MoU
Cameroon,All areas combined,2030,USG,47940000.0,Printed in MoU
Cameroon,Data systems,2026,USG,13370000.0,Printed in MoU
Cameroon,Data systems,2027,USG,12120000.0,Printed in MoU
Cameroon,Data systems,2028,USG,11380000.0,Printed in MoU
Cameroon,Data systems,2029,USG,9660000.0,Printed in MoU
Cameroon,Data systems,2030,USG,6350000.0,Printed in MoU
Cameroon,Frontline healthcare workers,2028,Government,4404082.0,Imputed from FTEs
Cameroon,Frontline healthcare workers,2029,Government,8464989.0,Imputed from FTEs
Cameroon,Frontline healthcare workers,2030,Government,12521496.0,Imputed from FTEs
Cameroon,Frontline healthcare workers,2026,USG,22170000.0,Printed in MoU
Cameroon,Frontline healthcare workers,2027,USG,20110000.0,Printed in MoU
Cameroon,Frontline healthcare workers,2028,USG,18880000.0,Printed in MoU
Cameroon,Frontline healthcare workers,2029,USG,16020000.0,Printed in MoU
Cameroon,Frontline healthcare workers,2030,USG,10530000.0,Printed in MoU
Cameroon,Frontline lab workers,2028,Government,383526.0,Imputed from FTEs
Cameroon,Frontline lab workers,2029,Government,773237.0,Imputed from FTEs
Cameroon,Frontline lab workers,2030,Government,1156763.0,Imputed from FTEs
Cameroon,Frontline lab workers,2026,USG,1930000.0,Printed in MoU
Cameroon,Frontline lab workers,2027,USG,1750000.0,Printed in MoU
Cameroon,Frontline lab workers,2028,USG,1640000.0,Printed in MoU
Cameroon,Frontline lab workers,2029,USG,1390000.0,Printed in MoU
Cameroon,Frontline lab workers,2030,USG,920000.0,Printed in MoU
Cameroon,Laboratory commodities,2026,Government,0.0,Printed in MoU
Cameroon,Laboratory commodities,2027,Government,0.0,Printed in MoU
Cameroon,Laboratory commodities,2028,Government,524519.0,Printed in MoU
Cameroon,Laboratory commodities,2029,Government,1824519.0,Printed in MoU
Cameroon,Laboratory commodities,2030,Government,4600000.0,Printed in MoU
Cameroon,Laboratory commodities,2026,USG,5630000.0,Printed in MoU
Cameroon,Laboratory commodities,2027,USG,5630000.0,Printed in MoU
Cameroon,Laboratory commodities,2028,USG,5110000.0,Printed in MoU
Cameroon,Laboratory commodities,2029,USG,4330000.0,Printed in MoU
Cameroon,Laboratory commodities,2030,USG,2850000.0,Printed in MoU
Cameroon,Management & operations,2026,USG,19100000.0,Printed in MoU
Cameroon,Management & operations,2027,USG,15690000.0,Printed in MoU
Cameroon,Management & operations,2028,USG,15290000.0,Printed in MoU
Cameroon,Management & operations,2029,USG,12980000.0,Printed in MoU
Cameroon,Management & operations,2030,USG,8530000.0,Printed in MoU
Cameroon,Other commodities,2026,Government,0.0,Printed in MoU
Cameroon,Other commodities,2027,Government,0.0,Printed in MoU
Cameroon,Other commodities,2028,Government,1100000.0,Printed in MoU
Cameroon,Other commodities,2029,Government,2720000.0,Printed in MoU
Cameroon,Other commodities,2030,Government,5830000.0,Printed in MoU
Cameroon,Other commodities,2026,USG,11800000.0,Printed in MoU
Cameroon,Other commodities,2027,USG,11800000.0,Printed in MoU
Cameroon,Other commodities,2028,USG,10700000.0,Printed in MoU
Cameroon,Other commodities,2029,USG,9080000.0,Printed in MoU
Cameroon,Other commodities,2030,USG,5970000.0,Printed in MoU
Cameroon,Strategic assistance / investment,2026,USG,18470000.0,Printed in MoU
Cameroon,Strategic assistance / investment,2027,USG,16750000.0,Printed in MoU
Cameroon,Strategic assistance / investment,2028,USG,15730000.0,Printed in MoU
Cameroon,Strategic assistance / investment,2029,USG,13350000.0,Printed in MoU
