Country,Investment area,Year,Funder,Amount,Unit,Row type,Category (as printed in MoU),Source note,MoU footnote (verbatim),MoU footnote location,Source (MoU PDF)
Kenya,Surveillance & outbreak response,2026,USG,4506350.0,USD,Line item,Surveillance & Outbreak Response,"Para 2.1.3.1 prints 4,506,360/yr; Appendix 1 value (4,506,350) reconciles to totals",,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Surveillance & outbreak response,2027,USG,4506350.0,USD,Line item,Surveillance & Outbreak Response,"Para 2.1.3.1 prints 4,506,360/yr; Appendix 1 value (4,506,350) reconciles to totals",,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Surveillance & outbreak response,2028,USG,4506350.0,USD,Line item,Surveillance & Outbreak Response,"Para 2.1.3.1 prints 4,506,360/yr; Appendix 1 value (4,506,350) reconciles to totals",,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Surveillance & outbreak response,2029,USG,4506350.0,USD,Line item,Surveillance & Outbreak Response,"Para 2.1.3.1 prints 4,506,360/yr; Appendix 1 value (4,506,350) reconciles to totals",,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Surveillance & outbreak response,2030,USG,4506350.0,USD,Line item,Surveillance & Outbreak Response,"Para 2.1.3.1 prints 4,506,360/yr; Appendix 1 value (4,506,350) reconciles to totals",,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Laboratory commodities,2026,USG,14960974.0,USD,Line item,Lab Commodities,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Laboratory commodities,2027,USG,10472682.0,USD,Line item,Lab Commodities,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Laboratory commodities,2028,USG,5236341.0,USD,Line item,Lab Commodities,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Laboratory commodities,2029,USG,0.0,USD,Line item,Lab Commodities,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Laboratory commodities,2030,USG,0.0,USD,Line item,Lab Commodities,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline lab workers,2026,USG,6462293.0,USD,Line item,Frontline Lab Workers ($),,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline lab workers,2027,USG,4308195.0,USD,Line item,Frontline Lab Workers ($),,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline lab workers,2028,USG,2154098.0,USD,Line item,Frontline Lab Workers ($),,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline lab workers,2029,USG,0.0,USD,Line item,Frontline Lab Workers ($),,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline lab workers,2030,USG,0.0,USD,Line item,Frontline Lab Workers ($),,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline lab workers,2026,USG,515.0,FTEs,Line item,Frontline Lab Workers (# FTEs),,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline lab workers,2027,USG,515.0,FTEs,Line item,Frontline Lab Workers (# FTEs),,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline lab workers,2028,USG,0.0,FTEs,Line item,Frontline Lab Workers (# FTEs),,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline lab workers,2029,USG,0.0,FTEs,Line item,Frontline Lab Workers (# FTEs),,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline lab workers,2030,USG,0.0,FTEs,Line item,Frontline Lab Workers (# FTEs),,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Other commodities,2026,USG,94782231.0,USD,Line item,Other Commodities,2026 includes one-time $20M buffer stock (6MMD ART + Lenacapavir PrEP),,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Other commodities,2027,USG,44869339.0,USD,Line item,Other Commodities,2026 includes one-time $20M buffer stock (6MMD ART + Lenacapavir PrEP),,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Other commodities,2028,USG,44869339.0,USD,Line item,Other Commodities,2026 includes one-time $20M buffer stock (6MMD ART + Lenacapavir PrEP),,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Other commodities,2029,USG,29912892.0,USD,Line item,Other Commodities,2026 includes one-time $20M buffer stock (6MMD ART + Lenacapavir PrEP),,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Other commodities,2030,USG,14956446.0,USD,Line item,Other Commodities,2026 includes one-time $20M buffer stock (6MMD ART + Lenacapavir PrEP),,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline healthcare workers,2026,USG,45735429.0,USD,Line item,Frontline Healthcare Workers ($),,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline healthcare workers,2027,USG,30490286.0,USD,Line item,Frontline Healthcare Workers ($),,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline healthcare workers,2028,USG,0.0,USD,Line item,Frontline Healthcare Workers ($),,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline healthcare workers,2029,USG,0.0,USD,Line item,Frontline Healthcare Workers ($),,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline healthcare workers,2030,USG,0.0,USD,Line item,Frontline Healthcare Workers ($),,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline healthcare workers,2026,USG,28668.0,FTEs,Line item,Frontline Healthcare Workers (# FTEs),,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline healthcare workers,2027,USG,21407.0,FTEs,Line item,Frontline Healthcare Workers (# FTEs),,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
