Country,Programmatic area,Indicator,Metric type,Year,Value,Unit,Value type,Direction,Programmatic area (as printed),Unit / source note,MoU footnote (verbatim),MoU footnote location,Source (MoU PDF)
Kenya,HIV/AIDS,% People With HIV Who Know Their Status,Outcome,Baseline,95.0,%,Percentage,Higher is better,HIV/AIDS,%; baseline 2025,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,HIV/AIDS,% People With HIV Who Know Their Status,Outcome,2026,95.5,%,Percentage,Higher is better,HIV/AIDS,%; baseline 2025,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,HIV/AIDS,% People With HIV Who Know Their Status,Outcome,2027,96.0,%,Percentage,Higher is better,HIV/AIDS,%; baseline 2025,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,HIV/AIDS,% People With HIV Who Know Their Status,Outcome,2028,96.5,%,Percentage,Higher is better,HIV/AIDS,%; baseline 2025,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,HIV/AIDS,% People With HIV Who Know Their Status,Outcome,2029,97.0,%,Percentage,Higher is better,HIV/AIDS,%; baseline 2025,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,HIV/AIDS,% People With HIV Who Know Their Status,Outcome,2030,97.5,%,Percentage,Higher is better,HIV/AIDS,%; baseline 2025,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,HIV/AIDS,% People Who Know Their HIV Status on Treatment,Outcome,Baseline,97.0,%,Percentage,Higher is better,HIV/AIDS,%,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,HIV/AIDS,% People Who Know Their HIV Status on Treatment,Outcome,2026,97.2,%,Percentage,Higher is better,HIV/AIDS,%,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,HIV/AIDS,% People Who Know Their HIV Status on Treatment,Outcome,2027,97.4,%,Percentage,Higher is better,HIV/AIDS,%,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,HIV/AIDS,% People Who Know Their HIV Status on Treatment,Outcome,2028,97.6,%,Percentage,Higher is better,HIV/AIDS,%,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,HIV/AIDS,% People Who Know Their HIV Status on Treatment,Outcome,2029,97.8,%,Percentage,Higher is better,HIV/AIDS,%,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,HIV/AIDS,% People Who Know Their HIV Status on Treatment,Outcome,2030,98.0,%,Percentage,Higher is better,HIV/AIDS,%,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,HIV/AIDS,% People on ART Who Are Virally Suppressed,Outcome,Baseline,94.0,%,Percentage,Higher is better,HIV/AIDS,%,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,HIV/AIDS,% People on ART Who Are Virally Suppressed,Outcome,2026,95.0,%,Percentage,Higher is better,HIV/AIDS,%,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,HIV/AIDS,% People on ART Who Are Virally Suppressed,Outcome,2027,96.0,%,Percentage,Higher is better,HIV/AIDS,%,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,HIV/AIDS,% People on ART Who Are Virally Suppressed,Outcome,2028,97.0,%,Percentage,Higher is better,HIV/AIDS,%,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,HIV/AIDS,% People on ART Who Are Virally Suppressed,Outcome,2029,97.5,%,Percentage,Higher is better,HIV/AIDS,%,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,HIV/AIDS,% People on ART Who Are Virally Suppressed,Outcome,2030,98.0,%,Percentage,Higher is better,HIV/AIDS,%,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Malaria,# Malaria Deaths in Children Under 5,Outcome,Baseline,3242.0,count,Absolute number,Lower is better,Malaria,count,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Malaria,# Malaria Deaths in Children Under 5,Outcome,2026,2658.0,count,Absolute number,Lower is better,Malaria,count,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Malaria,# Malaria Deaths in Children Under 5,Outcome,2027,2180.0,count,Absolute number,Lower is better,Malaria,count,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Malaria,# Malaria Deaths in Children Under 5,Outcome,2028,1788.0,count,Absolute number,Lower is better,Malaria,count,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Malaria,# Malaria Deaths in Children Under 5,Outcome,2029,1466.0,count,Absolute number,Lower is better,Malaria,count,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Malaria,# Malaria Deaths in Children Under 5,Outcome,2030,1202.0,count,Absolute number,Lower is better,Malaria,count,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,TB,# TB deaths (of notified TB cases),Outcome,Baseline,5812.0,count,Absolute number,Lower is better,TB,count,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,TB,# TB deaths (of notified TB cases),Outcome,2026,4861.0,count,Absolute number,Lower is better,TB,count,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,TB,# TB deaths (of notified TB cases),Outcome,2027,4629.0,count,Absolute number,Lower is better,TB,count,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,TB,# TB deaths (of notified TB cases),Outcome,2028,4383.0,count,Absolute number,Lower is better,TB,count,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,TB,# TB deaths (of notified TB cases),Outcome,2029,4076.0,count,Absolute number,Lower is better,TB,count,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
